Carimbo de data/hora,Age ,  Gender (optional)  ,  Have you used VR or MR headsets before?  ,"  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [I was aware of where each drone was during the mission.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [The Mixed Reality overlays helped me understand the swarm’s overall state.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [I could easily identify which drone was performing which task.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [I felt confident about spatial relationships between drones and waypoints.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [Interacting with drones and waypoints in MR felt natural.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [The controller-based interactions were precise and responsive.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [The interface layout made it easy to perform the required tasks.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [I could quickly learn how to use the system without much instruction.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [Defining waypoints or formations was straightforward.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [I could modify missions or drone behaviour with minimal effort.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [The MR interface reduced the time needed to plan or monitor missions.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [The MR interface was stable and responsive.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [The system provided enough feedback about drone state or mission progress.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [I would feel confident using this interface in real operations.]","  Please rate the following statements (1 = Strongly Disagree, 5 = Strongly Agree)   [Overall, the interface improved my understanding of the swarm compared to a traditional screen-based interface.]",  What did you find most intuitive or useful about the MR interface?  ,  What aspects were confusing or could be improved?  ,  Any suggestions for additional features or functionalities?  
2025/10/19 23:16:23,17,Male,Never,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,What I found most intuitive was the easiness and quickness one can define missions.,Sometimes I forgot the controller bindings and needed remembering ,"Maybe some virtual drone visualization
"
2025/10/20 10:27:57,19,Female,Never,3 – Neutral,4 – Agree,4 – Agree,3 – Neutral,2 – Disagree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,4 – Agree,3 – Neutral,2 – Disagree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,Controller inputs,Sometimes the controller had to be pressed multiple times for inputs to work,no
2025/10/20 12:38:35,23,Male,Never,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,3 – Neutral,4 – Agree,4 – Agree,4 – Agree,4 – Agree,3 – Neutral,3 – Neutral,5 – Strongly Agree,3 – Neutral,3 – Neutral,liked the interaction profile,some commands not intuitive,"dk
"
2025/10/20 14:01:03,24,Male,Never,4 – Agree,3 – Neutral,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,3 – Neutral,4 – Agree,4 – Agree,3 – Neutral,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree, everything,nothing,dont know sorry
2025/10/20 14:02:08,54,Male,Occasionally,5 – Strongly Agree,4 – Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,All,Too many controller inputs,can think of any
2025/10/20 14:07:59,55,Female,Never,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,3 – Neutral,4 – Agree,3 – Neutral,3 – Neutral,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,blank,blank,"blank
"
2025/10/20 14:11:29,23,Male,Never,3 – Neutral,4 – Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,3 – Neutral,5 – Strongly Agree,3 – Neutral,5 – Strongly Agree,5 – Strongly Agree,3 – Neutral,4 – Agree,4 – Agree,4 – Agree,"everything was clear and ease to use
",sometimes it feels unnatural the usability,no
2025/10/20 14:12:49,22,Male,Never,4 – Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,3 – Neutral,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,Tutorial guidance was super useful,blank,blank
2025/10/20 14:17:19,24,Female,Occasionally,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,3 – Neutral,4 – Agree,2 – Disagree,3 – Neutral,4 – Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,Feel like the tutorial is good but slow paced,hard the buttons to interact,maybe virtual drones
2025/10/20 14:19:22,23,Male,Never,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,3 – Neutral,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,3 – Neutral,3 – Neutral,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,Blank,Blank,Blank
2025/10/20 14:22:43,22,Male,Occasionally,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,3 – Neutral,4 – Agree,Tutorial awsome,Maybe a little clearer on the drone information,nothing
2025/10/20 14:24:08,23,Female,Occasionally,4 – Agree,4 – Agree,4 – Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,4 – Agree,5 – Strongly Agree,basically all of the interface is good,blank,"blank
"
2025/10/20 14:26:04,24,Male,Never,5 – Strongly Agree,4 – Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,4 – Agree,4 – Agree,4 – Agree,3 – Neutral,very cool interactions,sometimes forgot the commands,dont know
2025/10/20 14:26:54,23,Male,Occasionally,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,3 – Neutral,4 – Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,4 – Agree,4 – Agree,blank,blank,blank
2025/10/20 14:27:47,22,Male,Never,5 – Strongly Agree,3 – Neutral,3 – Neutral,3 – Neutral,5 – Strongly Agree,4 – Agree,4 – Agree,5 – Strongly Agree,4 – Agree,3 – Neutral,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,3 – Neutral,blank,blank,"blank
"